,name,description,country,year,genre
0,Сестрёнка,"Экранизация повести Мустая Карима “Радость нашего дома”.Действие картины разворачивается в годы Великой Отечественной войны. Осиротевшая украинская девочка Оксана, найденная в разоренном доме, обретает приют и новую семью в башкирской деревне. Отношения Оксаны с ее названным братом Ямилем и другими деревенскими ребятами поначалу складываются непросто. День за днем дети вместе борются с трудностями военного времени, которые их объединяют.",Россия,2019,"военный фильм, драма"
1,Шугалей-3,"После долгого плена в ливийской тюрьме «Митига» Максим Шугалей и Самер Суэйфан наконец-то возвращаются в Россию. Несколько месяцев спустя с Шугалеем связывается бывший управляющий банка в Триполи Фарид и предлагает встретиться в Египте — у него появилась новая информация о террористах в Ливии. Но встреча срывается… Чтобы помочь Фариду избежать тюрьмы, Максиму придется на время отложить свои планы.",Россия,2021,"боевик, приключения"
2,Женская логика - 1,"По мотивам одноименного романа Виктора Пронина.Работник издательства Ольга Петровна Туманова - страстная любительница детективов и сыщик по призванию. Она не ""опер"", не дознаватель, не следователь, но у нее есть свой способ поиска преступников - логика. Женская логика.",Россия,2002,"детектив, экранизация"
3,Доктор,"Основано на реальных событиях, по документальному роману Марии Ануфриевой «Доктор Х и его дети».Ночью в психо-неврологическом отделении для подростков происходит ужасное событие — едва не гибнет один из пациентов. Взрослые предполагают, что виновник ночного происшествия — кто-то из ребят. Врачи опасаются, что история повторится и закончится трагедией. Есть версия, что подростки по ночам играют в «собачий кайф», игру с удушением. Разобраться во всем и остановить смертельную игру должен Иван Христофоров — талантливый психиатр, который лечит своих юных пациентов не столько таблетками, сколько педагогическими методами. Но, оказывается, что найти виновника — это самое простое. Гораздо сложнее спасти его душу — это и становится главной целью Христофорова. Ради этого он готов пожертвовать всем: и интересами близких людей, и собственным здоровьем, и даже жизнью своей матери.",Россия,2022,драма
4,Жили-были,"Старинная деревня в русской глубинке. Из жителей только два одиноких немолодых мужчины и внезапно овдовевшая женщина. Один из друзей решает, что пора завязывать с одиночеством и собирается предложить вдове руку и сердце. Но второй мужчина в корне с этим не согласен и тоже претендует на вакантное место. Лучшие друзья объявляют друг другу войну.",Россия,2017,мелодрама
5,Дедушка,"У Ирины, медсестры из маленького городка, порок сердца. По прогнозам врачей её сердцу осталось биться недолго, а позаботиться о шестилетней дочери Анне некому. Ирина лихорадочно пытается найти выход, и у неё появляется мысль, что Аню мог бы взять на воспитание дедушка - отец молодого человека, бросившего Ирину беременной. Всё, что она знает о дедушке дочери, Игоре Васильевиче Дёмине, что он довольно успешный бизнесмен.Ирина отправляется в столицу, чтобы познакомить деда и внучку. Но Игорь Васильевич не готов быть дедушкой, он совсем не чувствует себя стариком. У него  хорошо идут дела в бизнесе, и он планирует жениться на девушке в два раза моложе его.  Игорь Васильевич не готов примириться с мыслью, что ему нужно заботиться о совершенно чужом ребёнке. Ирина вместе с дочерью возвращается домой ни с чем, а в это время  на Игоря Васильевича совершается покушение, после которого он начинает понимать, что маленькая Аня действительно нуждается в его поддержке.Игорь Васильевич сообщает Ирине, что готов забрать внучку к себе. А Ирина, прощаясь с дочерью, понимает, что видит ребенка, скорее всего, в последний раз. Но Аня не знает о болезни матери и, уезжая к дедушке, ожидает, что мама тоже скоро приедет к ним в гости.Маленькой Ане очень нравится жить у дедушки, но у того начинаются серьезные проблемы во взаимоотношениях с сыном Кириллом и молодой невестой Юлей. Он тяжело переживает разрыв с сыном, который решил покинуть их семейный бизнес, а Юля держится с Аней подчёркнуто холодно. Её раздражает, что внимание Игоря Васильевича переключилось на внучку, а их свадьба откладывается.","Россия, Украина",2016,мелодрама
6,Некрасивая подружка - 2. Чёрный кот,"Антонина Остапчук, которая была уверена, что умрет старой девой, идет знакомиться с родителями своего возлюбленного. Но это волнующее событие омрачается странным происшествием. Сосед Леонида, 6-летний мальчик Сережа, сообщает Тоне, что его отчим собирается убить начальника. На следующее утро выясняется, что этот человек на самом деле умер, однако причины смерти - самые естественные. Открыть уголовное дело невозможно, все советуют Тоне не обращать внимания на дурацкое совпадение. Между тем, мальчик уверяет, что отчим готовит новое убийство. И еще - у него в комнате живет черный кот, которого никто не видит. Все это похоже на детские фантазии, но Тоня чувствует, что дело гораздо серьезнее. И конечно, оказывается права.",Россия,2020,детектив
7,Идеальная пара,"Зоя – спортсменка с мужским характером. Поэтому представителям сильного пола с ней тяжело, и они от нее сбегают. Но Зоя мечтает выйти замуж и завести детей.Кеша – холостяк, живет с родителями. Родители требуют от него внуков, и однажды он уходит из дома с намерением жениться на первой встречной. Ею оказывается Зоя, которая решает, что сможет сделать из Кеши идеального мужа. Он предлагает Зое переделать друг друга: день она командует, день - он. И тут Кеша, наконец, находит женщину своей мечты, которая его понимает. А Зоя встречает отличного парня. Однако скоро обнаруживается, что ""переделка"" не прошла даром...",Россия,2014,мелодрама
8,От печали до радости,"Владимир Трифонов – глава семьи, передовик труда, победитель заводских конкурсов художественной самодеятельности – простой человек с добрым сердцем.Всё в его семье было хорошо, пока не пришла беда: младший сын Пашка влюбился в Любу Звонареву – женщину намного старше себя, да ещё и с тремя детьми!Мать Паши не смогла смириться с такой невесткой. Владимир вынужден вмешаться и попросить Любу прекратить отношения с его сыном. Но разве можно построить жизнь другого человека по своим правилам, не разрушив при этом его счастье и судьбу?..",Россия,2020,мелодрама
9,Ты есть...,"По повести Виктории Токаревой ""Я есть. Ты есть. Он есть"".Анна недавно потеряла мужа и смысл жизни для нее теперь заключается только в сыне. Неожиданно он приводит домой девушку-детдомовку, а утром объявляет, что они поженились. Ревность Анны приводит к тому, что молодые уходят из дома. Спустя какое-то время ребята попадают в тяжелую аварию, Ира парализована полностью и сын приносит ее к матери домой... Анна побеждает ревность и ненависть, проходит мучительный путь страдания, сострадания - и обретает подлинную любовь.","Россия, Франция",1993,"мелодрама, экранизация"
10,В августе 44-го,"По роману Владимира Богомолова о работе контрразведки СМЕРШ в годы войны на только что освобожденной от фашистов территории.События происходят в августе 1944 года. На территории уже освобожденной Белоруссии действуют агенты противника. Регулярно с территории республики в эфир выходит шпионская группа, передающая шифрованные радиограммы, которая остается неуловимой. Так возникает дело военной контрразведки ""Неман"", главную роль в которой предстоит сыграть капитану Алёхину и его оперативной группе.","Россия, Беларусь",2000,"военный фильм, шпионский фильм, экранизация"
11,Пальма,"Овчарка по кличке Пальма вынужденно расстается с хозяином: тот улетает заграницу, а верную собаку не берут на рейс и оставляют прямо на летном поле.Пальма прячется в аэропорту и каждый день встречает самолеты в надежде, что хозяин вернулся. Но время идет…9-летний Коля – тоже новенький в аэропорту: он потерял маму и переехал к отцу-пилоту, которого почти не знает. Пальма становится для мальчика родственной душой и лучшим другом. А отцу Коли, летчику Лазареву, предстоит заслужить доверие и любовь сына, сделав нелегкий выбор между карьерой и семьей. И найти способ не разлучить друзей, когда за Пальмой однажды возвращается хозяин.","Россия, Япония",2021,"драма, семейное кино"
12,Призрак,"Еще вчера Юрий Гордеев — амбициозный авиаконструктор и любимец женщин — был в шаге от своего триумфа. Его самолет ЮГ-1 должен был стать настоящим прорывом в отечественной авиации. Но сегодня его никто не видит и не слышит, и конкурент по бизнесу беспрепятственно закрывает его компанию. Все потому, что Юра разбился в автокатастрофе и стал призраком.Восьмиклассник Ваня Кузнецов был пустым местом всегда. Жертва гиперопеки матери, объект насмешек одноклассников, он боится даже заговорить с девочкой, в которую давно влюблен.У Юры есть неделя, чтобы закончить дело своей жизни и поднять самолет в воздух. Ваня — единственный, кто его видит и может ему помочь.",Россия,2015,"комедия, мистика"
